Title,Runtime,Tomato %,Audience %,Crime,Drama,Comedy,Fantasy,Kids & family,Mystery & thriller,Horror,Adventure,Action,History,Sci-fi,Romance,Musical
Goodfellas,0 days 02:26:00,96,97,True,True,,,,,,,,,,,
The Freshman,0 days 01:42:00,94,61,,,True,,,,,,,,,,
Miller's Crossing,0 days 01:54:00,92,90,True,True,,,,,,,,,,,
The Witches,0 days 01:31:00,93,70,,,,True,True,,,,,,,,
Arachnophobia,0 days 01:49:00,93,54,,,True,,,True,,,,,,,
Metropolitan,0 days 01:38:00,93,85,,True,True,,,,,,,,,,
Reversal of Fortune,0 days 02:00:00,92,78,,True,,,,,,,,,,,
Misery,0 days 01:47:00,90,89,,,,,,True,True,,,,,,
Edward Scissorhands,0 days 01:45:00,90,91,,,True,True,,,,,,,,,
The Grifters,0 days 01:53:00,91,70,True,True,,,,,,,,,,,
The Hunt for Red October,0 days 02:17:00,88,88,,,,,,True,,True,,,,,
La Femme Nikita,0 days 01:57:00,89,84,,,,,,True,,,True,,,,
Presumed Innocent,0 days 02:08:00,87,67,,,,,,True,,,,,,,
"The Godfather, Coda: The Death of Michael Corleone",,86,75,,,,,,,,,,,,,
Tremors,0 days 01:36:00,86,75,,,,,,,True,,,,,,
Dances With Wolves,0 days 03:00:00,83,87,,True,,,,,,,,True,,,
Total Recall,0 days 01:49:00,82,78,,,,,,,,,True,,True,,
Darkman,0 days 01:35:00,83,59,,,,,,True,,,True,,,,
Back to the Future Part III,0 days 01:58:00,80,78,,,,True,,,,True,,,,,
Ghost,0 days 02:07:00,75,80,,,,True,,,,,,,,True,
Jacob's Ladder,0 days 01:53:00,73,84,,,,,,True,True,,,,,,
Cry Baby,0 days 01:25:00,73,77,,,True,,,,,,,,,,True
Gremlins 2: The New Batch,0 days 01:46:00,71,57,,,True,True,,,,,,,,,
Die Hard 2,0 days 02:04:00,69,70,,,,,,True,,,True,,,,
"The Godfather, Part III",0 days 02:41:00,67,62,True,True,,,,,,,,,,,
Home Alone,0 days 01:42:00,67,80,,,True,,True,,,,,,,,
Wild at Heart,0 days 02:05:00,67,81,,True,,,,,,,,,,,
Pretty Woman,0 days 01:54:00,65,68,,,True,,,,,,,,,True,
Dick Tracy,0 days 01:50:00,64,53,True,True,,,,,,,,,,,
The Exorcist III,0 days 01:50:00,59,56,,,,,,,True,,,,,,
Flatliners,0 days 01:51:00,47,59,,,,,,,,,,,True,,
Teenage Mutant Ninja Turtles,0 days 01:33:00,41,81,,,,True,True,,,,,,,,
Days of Thunder,0 days 01:47:00,38,60,,,,,,,,,True,,,,
The Bonfire of the Vanities,0 days 02:06:00,16,26,,True,True,,,,,,,,,,
